carat,price
0.23,326
0.21,326
0.23,327
0.29,334
0.31,335
0.24,336
0.24,336
0.26,337
0.22,337
0.23,338
0.3,339
0.23,340
0.22,342
0.31,344
0.2,345
0.32,345
0.3,348
0.3,351
0.3,351
0.3,351
0.3,351
0.23,352
0.23,353
0.31,353
0.31,353
0.23,354
0.24,355
0.3,357
0.23,357
0.23,357
0.23,402
0.23,402
0.23,402
0.23,402
0.23,402
0.23,402
0.23,402
0.31,402
0.26,403
0.33,403
0.33,403
0.33,403
0.26,403
0.26,403
0.32,403
0.29,403
0.32,403
0.32,403
0.25,404
0.29,404
0.24,404
0.23,404
0.32,404
0.22,404
0.22,404
0.3,405
0.3,405
0.3,405
0.3,405
0.3,405
0.35,552
0.3,552
0.3,552
0.3,552
0.42,552
0.28,553
0.32,553
0.31,553
0.31,553
0.24,553
0.24,553
0.3,554
0.3,554
0.3,554
0.3,554
0.26,554
0.26,554
0.26,554
0.26,554
0.26,554
0.26,554
0.26,554
0.26,554
0.38,554
0.26,554
0.24,554
0.24,554
0.24,554
0.24,554
0.32,554
0.7,2757
0.86,2757
0.7,2757
0.71,2759
0.78,2759
0.7,2759
0.7,2759
0.96,2759
0.73,2760
0.8,2760
0.75,2760
0.75,2760
0.74,2760
0.75,2760
0.8,2760
0.75,2760
0.8,2760
0.74,2761
0.81,2761
0.59,2761
0.8,2761
0.74,2761
0.9,2761
0.74,2762
0.73,2762
0.73,2762
0.8,2762
0.71,2762
0.7,2762
0.8,2762
0.71,2762
0.74,2762
0.7,2762
0.7,2762
0.7,2762
0.7,2762
0.91,2763
0.61,2763
0.91,2763
0.91,2763
0.77,2763
0.71,2764
0.71,2764
0.7,2765
0.77,2765
0.63,2765
0.71,2765
0.71,2765
0.76,2765
0.64,2766
0.71,2766
0.71,2766
0.7,2767
0.7,2767
0.71,2767
0.7,2767
0.71,2768
0.73,2768
0.7,2768
0.7,2768
0.71,2768
0.74,2769
0.71,2770
0.73,2770
0.76,2770
0.76,2770
0.71,2770
0.73,2770
0.73,2770
0.73,2770
0.73,2770
0.72,2771
0.73,2771
0.71,2771
0.79,2771
0.73,2772
0.8,2772
0.58,2772
0.58,2772
0.71,2772
0.75,2773
0.7,2773
1.17,2774
0.6,2774
0.7,2774
0.83,2774
0.74,2775
0.72,2776
0.71,2776
0.71,2776
0.54,2776
0.54,2776
0.72,2776
0.72,2776
0.72,2776
0.71,2776
0.7,2777
0.71,2777
0.71,2777
0.71,2777
0.71,2777
0.7,2777
0.7,2777
0.7,2777
0.7,2777
0.7,2777
0.7,2777
0.7,2777
0.7,2777
0.72,2777
0.7,2777
0.7,2777
0.7,2777
0.7,2777
0.98,2777
0.78,2777
0.7,2777
0.52,2778
0.73,2779
0.74,2779
0.7,2780
0.77,2780
0.71,2780
0.74,2780
0.7,2780
1.01,2781
0.77,2781
0.78,2781
0.72,2782
0.53,2782
0.76,2782
0.7,2782
0.7,2782
0.75,2782
0.72,2782
0.72,2782
0.7,2782
0.84,2782
0.75,2782
0.52,2783
0.72,2784
0.79,2784
0.72,2787
0.51,2787
0.64,2787
0.7,2788
0.83,2788
0.76,2788
0.71,2788
0.77,2788
0.71,2788
1.01,2788
1.01,2788
0.77,2789
0.76,2789
0.76,2789
0.76,2789
1.05,2789
0.81,2789
0.7,2789
0.55,2789
0.81,2789
0.63,2789
0.63,2789
0.77,2789
1.05,2789
0.64,2790
0.76,2790
0.83,2790
0.71,2790
0.71,2790
0.87,2791
0.73,2791
0.71,2792
0.71,2792
0.71,2792
0.7,2792
0.7,2792
0.76,2792
0.7,2792
0.79,2793
0.7,2793
0.7,2793
0.76,2793
0.73,2793
0.79,2794
0.71,2795
0.81,2795
0.81,2795
0.72,2795
0.72,2795
0.72,2795
0.81,2795
0.72,2795
1,2795
0.73,2796
0.81,2797
0.81,2797
0.71,2797
0.71,2797
0.71,2797
0.57,2797
0.51,2797
0.72,2797
0.74,2797
0.74,2797
0.7,2797
0.8,2797
1.01,2797
0.8,2797
0.77,2798
0.83,2799
0.82,2799
0.78,2799
0.6,2800
0.9,2800
0.7,2800
0.9,2800
0.83,2800
0.83,2800
0.83,2800
0.74,2800
0.79,2800
0.61,2800
0.76,2800
0.96,2801
0.73,2801
0.73,2801
0.75,2801
